answer,hint
JeanCharlesBAZIN,professor
JaehongAHN,professor
JunyongNOH,professor
JihyunLEE,professor
JuhanNAM,professor
MeeyoungCHA,professor
YoungyimDOH,professor
BonggwanJUN,professor
JeounghoonKIM,professor
ByungjooLEE,professor
JeongmiLEE,professor
KyungmyunLEE,professor
SungheeLEE,professor
WonjaeLEE,professor
JuyongPARK,professor
ChungkonSHI,professor
SungjuWOO,professor
WoontackWOO,professor
